Day,Month,Year,Location,Gear,Tow,Species,Length,Date,Season,Sample
L,10,2009,BB,Seine,3,Winter Flounder,44,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,69,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,75,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,58,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,64,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,70,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,54,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,50,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,48,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,67,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,65,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,76,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,51,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,50,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,nm,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,65,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,43,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,43,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,nm,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,nm,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,63,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,73,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,75,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,60,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,61,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,54,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,49,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,57,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,56,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Atlantic silverside,55,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,Winter Flounder,116,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,9 spine SB,36,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,1,9 spine SB,35,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,2,Tomcod,121,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,2,Alewife,60,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,2,Alewife,41,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,3,Tomcod,87,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,3,3 spine sb,56,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,3,Winter Flounder,58,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,3,9 spine sb,38,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,3,9 spine sb,22,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,3,9 spine sb,30,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,3,9 spine sb,31,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,3,Alewife,60,15/10/2009,Fall,L-10-2009-FFH-Seine
L,10,2009,FFH,Seine,3,Alewife,41,15/10/2009,Fall,L-10-2009-FFH-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,64,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,60,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,85,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,66,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,43,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,62,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,66,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,73,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,73,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,68,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,76,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,78,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,75,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,75,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,66,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,73,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,70,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,76,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,67,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,84,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,63,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,60,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,63,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,62,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,75,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,77,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,70,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,54,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,65,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,67,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,62,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Atlantic silverside,43,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Winter Flounder,51,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Winter Flounder,61,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,1,Winter Flounder,50,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,72,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,79,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,65,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,67,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,70,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,75,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,77,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,53,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,65,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,98,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,67,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,69,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,75,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,70,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,66,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,52,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,56,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,63,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,50,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,73,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,43,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,58,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,63,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,69,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,66,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,63,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,55,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,75,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,65,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,72,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,56,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,65,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,70,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,65,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,78,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,70,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,72,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,61,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,69,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,53,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,70,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,74,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,65,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,79,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,65,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,80,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,73,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,64,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,68,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,80,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,73,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,65,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,65,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,52,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,64,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Atlantic silverside,nm,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Winter Flounder,45,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Winter Flounder,46,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Winter Flounder,55,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Winter Flounder,45,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Winter Flounder,42,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Smelt,55,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Smelt,50,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Smelt,162,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Smelt,171,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,2,Smelt,85,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Atlantic silverside,73,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Atlantic silverside,85,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Atlantic silverside,70,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Atlantic silverside,93,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Atlantic silverside,95,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Atlantic silverside,85,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Atlantic silverside,73,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Atlantic silverside,72,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Atlantic silverside,76,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Atlantic silverside,74,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Atlantic silverside,70,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Atlantic silverside,66,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Atlantic silverside,50,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Atlantic silverside,63,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Atlantic silverside,60,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Atlantic silverside,70,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Winter Flounder,52,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Winter Flounder,50,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Winter Flounder,53,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Winter Flounder,50,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Winter Flounder,65,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Winter Flounder,45,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Winter Flounder,51,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Winter Flounder,56,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Smelt,52,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Smelt,50,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Smelt,61,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Smelt,57,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Smelt,55,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,BB,Seine,3,Smelt,61,1/11/2009,Fall,E-11-2009-BB-Seine
E,11,2009,FFH,Seine,1,Atlantic silverside,70,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,1,Atlantic silverside,,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,1,Atlantic silverside,70,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,1,Atlantic silverside,43,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,1,Atlantic silverside,48,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,1,Atlantic silverside,74,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,1,Atlantic silverside,63,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,1,Winter Flounder,60,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Atlantic silverside,70,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Atlantic silverside,55,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Atlantic silverside,74,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Atlantic silverside,72,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Atlantic silverside,63,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Atlantic silverside,59,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Atlantic silverside,45,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Herring,105,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Atlantic silverside,67,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Atlantic silverside,62,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Atlantic silverside,77,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Atlantic silverside,60,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Atlantic silverside,55,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Atlantic silverside,53,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Atlantic silverside,73,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Atlantic silverside,54,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Winter Flounder,57,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Winter Flounder,60,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,2,Smelt,43,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,3,Atlantic silverside,67,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,3,Atlantic silverside,62,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,3,Atlantic silverside,77,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,3,Atlantic silverside,60,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,3,Atlantic silverside,55,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,3,Atlantic silverside,53,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,3,Atlantic silverside,73,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,3,Atlantic silverside,54,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,3,Winter Flounder,57,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,3,Winter Flounder,60,1/11/2009,Fall,E-11-2009-FFH-Seine
E,11,2009,FFH,Seine,3,Smelt,43,1/11/2009,Fall,E-11-2009-FFH-Seine
L,11,2009,BB,Seine,1,Herring,82,15/11/2009,Fall,L-11-2009-BB-Seine
L,11,2009,BB,Seine,1,Herring,78,15/11/2009,Fall,L-11-2009-BB-Seine
L,11,2009,BB,Seine,1,Herring,77,15/11/2009,Fall,L-11-2009-BB-Seine
L,11,2009,BB,Seine,1,Herring,76,15/11/2009,Fall,L-11-2009-BB-Seine
L,11,2009,BB,Seine,2,Herring,75,15/11/2009,Fall,L-11-2009-BB-Seine
L,11,2009,BB,Seine,2,Winter Flounder,47,15/11/2009,Fall,L-11-2009-BB-Seine
L,11,2009,BB,Seine,2,Winter Flounder,65,15/11/2009,Fall,L-11-2009-BB-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,73,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,70,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,56,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,60,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,72,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,79,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,55,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,72,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,76,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,68,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,73,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,61,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,69,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,72,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,63,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,69,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,60,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,62,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,73,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,65,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,75,15/11/2009,Fall,L-11-2009-FFH-Seine
L,11,2009,FFH,Seine,1,Atlantic silverside,61,15/11/2009,Fall,L-11-2009-FFH-Seine
